sampledate,coreid,wtemp,light50,dark_light,light_logger,light0,do_init,delta_do_rate,do_final,do_gm2hr
2013-07-14,6,12.3,565,1,NA,765,10.58,0.9182320441988948,13.35,0.18823756906077344
2013-07-14,7,12.1,565,0,NA,765,10.55,-0.37458563535911626,9.42,-0.09177348066298348
2013-07-14,8,12.15,565,1,NA,765,10.56,1.0153846153846156,13.64,0.18784615384615388
2013-07-14,9,12.2,565,1,NA,765,10.64,1.2296703296703293,14.37,0.2643791208791208
2013-07-14,10,12.25,565,1,NA,765,10.74,1.5164835164835164,15.34,0.2881318681318681
2013-07-20,1,15,506.5,0,NA,750,10.43,-0.3829787234042551,9.23,-0.08425531914893612
2013-07-20,2,14.55,506.5,1,NA,750,10.2,0.7790575916230368,12.68,0.15581151832460735
2013-07-20,3,14.4,506.5,0,NA,750,10.39,-0.44455958549222785,8.96,-0.08446632124352328
2013-07-20,4,14.4,506.5,1,NA,750,10.1,0.6373056994818654,12.15,0.12491191709844564
2013-07-20,5,14,506.5,0,NA,750,10.4,-0.2381443298969071,9.63,-0.05334432989690718
2013-07-20,6,14.05,506.5,1,NA,750,10.23,0.732307692307692,12.61,0.14060307692307686
2013-07-20,7,14.1,506.5,0,NA,750,10.6,-0.30456852791878175,9.6,-0.05939086294416244
2013-07-20,8,14.6,506.5,1,NA,750,10.5,0.66969696969697,12.71,0.1480030303030304
2013-07-20,9,14.5,506.5,1,NA,750,10.45,0.6878787878787883,12.72,0.12794545454545464
2013-07-20,10,14.8,506.5,1,NA,750,10.24,0.8713567839195981,13.13,0.17427135678391964
2013-07-27,1,19.85,600,0,NA,1125,10.07,-0.6202247191011235,8.23,-0.11164044943820224
2013-07-27,2,19.35,600,1,NA,1125,10.39,2.1999999999999993,16.88,0.3629999999999999
2013-07-27,3,19,600,0,NA,1125,10.65,-0.7090909090909092,8.57,-0.13472727272727275
2013-07-27,4,19.049999999999997,600,1,NA,1125,10.33,0.5762711864406777,12.03,0.0950847457627118
2013-07-27,5,18.9,600,0,NA,1125,10.54,-0.6167597765363128,8.7,-0.12026815642458098
2013-07-27,6,18.950000000000003,600,1,NA,1125,10.38,1.9314606741573028,16.11,0.4056067415730336
2013-07-27,7,18.95,600,0,NA,1125,10.54,-0.647191011235955,8.62,-0.11002247191011236
2013-07-27,8,18.75,600,1,NA,1125,10.51,0.5232558139534884,12.01,0.09418604651162792
2013-07-27,9,19,600,1,NA,1125,10.58,0.953142857142857,13.36,0.1620342857142857
2013-07-27,10,19.15,600,1,NA,1125,10.24,2.103409090909091,16.41,0.3786136363636363
2013-08-06,1,8,190,0,NA,335,10.81,-0.27540983606557373,9.97,-0.04268852459016393
2013-08-06,2,8.05,190,1,NA,335,11.28,1.226086956521739,15.04,0.27586956521739125
